Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
787;2025-11-02;13;6;8;4;3;5;4;2;28;39;95;88;62;70;48;81;78;70;60;57;27;19;8;5;880;;7;787 - 50 Otages Vers Sud;2025-11-02;Vacances de la Toussaint
667;2025-11-02;18;28;8;6;2;3;8;12;20;60;72;83;72;69;78;82;77;95;72;54;35;9;3;1;967;;7;667 - Entrée pont Audibert vers Nord;2025-11-02;Vacances de la Toussaint
949;2025-11-02;5;2;0;1;0;1;0;1;0;3;5;10;8;8;5;19;19;14;13;0;7;4;4;1;130;;7;949 - avenue de la Libération vers Sud;2025-11-02;Vacances de la Toussaint
980;2025-11-02;0;0;0;0;0;0;1;1;0;0;1;0;2;3;1;1;2;4;1;2;0;0;0;0;19;;7;980 - Pont Tabarly vers Sud;2025-11-02;Vacances de la Toussaint
986;2025-11-02;0;0;0;0;0;0;0;2;3;8;12;10;4;0;10;15;7;15;10;6;6;5;2;1;116;;7;986 - Tremie vers Ouest;2025-11-02;Vacances de la Toussaint
943;2025-11-02;1;0;0;0;0;0;0;0;0;0;6;2;3;3;7;7;10;11;4;1;3;1;0;0;59;;7;943 - Magellan vers Ouest;2025-11-02;Vacances de la Toussaint
674;2025-11-02;14;6;8;1;4;2;0;0;5;14;11;19;22;25;27;30;25;31;23;32;41;9;9;9;367;;7;674 - Pont Haudaudine vers Sud;2025-11-02;Vacances de la Toussaint
677;2025-11-02;4;1;0;1;0;0;1;0;2;5;13;24;18;20;17;15;17;17;16;9;2;2;3;2;189;;7;677 - Pont Willy Brandt vers Malakoff;2025-11-02;Vacances de la Toussaint
745;2025-11-02;3;2;1;1;0;0;0;0;0;2;0;2;1;4;2;1;2;1;6;4;3;1;2;0;38;;7;745 - Calvaire vers Ouest;2025-11-02;Vacances de la Toussaint
880;2025-11-02;30;27;14;11;5;3;4;4;21;12;27;34;46;34;50;35;42;68;44;36;33;23;23;8;634;;7;880 - Madeleine vers Nord;2025-11-02;Vacances de la Toussaint
944;2025-11-02;5;0;0;0;0;0;1;2;0;5;10;9;13;2;15;4;9;11;5;3;6;1;0;0;101;;7;944 - Magellan vers Est;2025-11-02;Vacances de la Toussaint
948;2025-11-02;0;4;1;0;0;0;1;0;3;9;25;21;18;13;29;22;11;23;13;2;4;2;0;2;203;;7;948 - Bd Malakoff vers Est;2025-11-02;Vacances de la Toussaint
